2021-03-23 11:27:10.390 DEBUG 2344 --- [main] org.hibernate.SQL                        : alter table riga_scontrino add column quantita integer
2021-03-23 12:22:23.350 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:22:23.350 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:22:30.484 DEBUG 2344 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:22:30.485 TRACE 2344 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:22:30.488 DEBUG 2344 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:22:30.489 TRACE 2344 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:23:19.084 DEBUG 2344 --- [http-nio-8080-exec-9] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:23:19.086 TRACE 2344 --- [http-nio-8080-exec-9] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:23:19.089 DEBUG 2344 --- [http-nio-8080-exec-9] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:23:19.091 TRACE 2344 --- [http-nio-8080-exec-9] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:23:53.069 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:23:53.071 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:23:53.074 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:23:53.075 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:26:55.295 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:26:55.297 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:26:55.300 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:26:55.301 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:00.578 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:00.579 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:00.582 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:00.583 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:12.655 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:12.656 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:12.659 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:12.660 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:16.356 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:16.357 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:16.361 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:16.362 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:18.153 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:18.155 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:18.158 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:18.158 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:20.096 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:20.097 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:20.100 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:20.101 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:23.086 DEBUG 2344 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:27:23.087 TRACE 2344 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:27:23.091 DEBUG 2344 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:27:23.092 TRACE 2344 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:27:43.451 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.codice like ? escape ?
2021-03-23 12:27:43.452 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [%igvgi%]
2021-03-23 12:27:43.453 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [CHAR] - [\]
2021-03-23 12:30:14.897  WARN 7704 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-23 12:31:33.413 DEBUG 7704 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:31:33.428 TRACE 7704 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:31:33.492 DEBUG 7704 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:31:33.493 TRACE 7704 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:31:39.198 DEBUG 7704 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:31:39.200 TRACE 7704 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:31:39.204 DEBUG 7704 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:31:39.205 TRACE 7704 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:31:47.719 DEBUG 7704 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:31:47.720 TRACE 7704 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:31:47.739 DEBUG 7704 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:31:47.741 TRACE 7704 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:31:51.194 DEBUG 7704 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:31:51.195 TRACE 7704 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:31:51.199 DEBUG 7704 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:31:51.200 TRACE 7704 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:31:53.278 DEBUG 7704 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:31:53.279 TRACE 7704 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:31:53.283 DEBUG 7704 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:31:53.284 TRACE 7704 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:32:02.676 DEBUG 7704 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:32:02.677 TRACE 7704 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:32:02.680 DEBUG 7704 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:32:02.681 TRACE 7704 --- [http-nio-8080-exec-7] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
